Gucci Signature GG jacquard silk tie,"<ul><li>Charcoal-grey, dark-brown, black and beige GG-jacquard, silk</li><li>Dark-brown GG-jacquard lining </li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Gucci printed tie,Blue silk printed tie from Gucci featuring branded rear patch and a printed logo to the rear.
Gucci Tie,"Men's navy, cobalt and multicolor Gucci silk necktie with geometric print and G logo throughout."
GG pattern tie.,"<ul> <li>black with black GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Silk Jacquard Tie,"<ul> <li>black</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
GG pattern tie.,"<ul> <li>navy with blue GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Gucci printed tie,Blue silk printed tie from Gucci featuring a polka dot pattern.
Patterned Woven Silk Bow Tie,<ul> <li>black and light brown</li> <li>100% silk</li> <li>Made in Italy</li> </ul>
Gucci printed tie,Grey and black silk printed tie from Gucci featuring a polka dot print and branded rear patch.
Gucci Circle-jacquard silk tie,"<ul><li>Matte blue, high-shine blue and silver-grey circle-jacquard, silk</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Patterned Silk Tie,"<ul> <li>dark blue and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Patterned Silk Twill Tie,"<ul> <li>bordeaux and red</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Striped Woven Silk Tie,"<ul> <li>brown and orange</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Gucci Diamond-weave bow tie,"<ul><li>Navy and black, jacquard diamond-weave</li><li>Adjustable hook fastening</li><li>59% cotton, 28% silk, 13% polyester</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Gucci Circle-jacquard silk tie,"<ul><li>Matte navy, high-shine navy and white circle-jacquard, silk</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Striped Woven Silk Tie,"<ul> <li>royal blue and light grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Striped Silk Twill Bow Tie,<ul> <li>red and light blue</li> <li>100% silk</li> <li>Made in Italy</li> </ul>
Striped Silk Gauze Tie,<ul> <li>blue and beige striped silk gauze</li> <li>100% silk</li> <li>Made in Italy</li> </ul>
Patterned Silk Tie,"<ul> <li>bordeaux and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
pink silk jacquard GG pattern tie,"<ul> <li>pink</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Patterned Habutai Silk Bow Tie,<ul> <li>off-white and yellow</li> <li>100% silk</li> <li>Made in Italy</li> </ul>
Patterned Cotton Knit Tie,<ul> <li>bordeaux and grey</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>
Striped Woven Silk Tie,"<ul> <li>red and light blue</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Gucci Silk-Satin Bow Tie,"When the strictest dress codes are expected, a classic black bow tie is an infallible choice. The choice of Academy Award winners from Messrs. Clark Gable to Christian Bale, Gucci 's silk-satin version is the debonair way to complete your look. <ul> <li>Black silk-satin bow tie</li> <li>100% silk</li> <li>Dry clean</li> <li>Made in Italy</li> </ul>"
Gucci Tie,"Men's royal blue, steel blue and multicolor Gucci silk necktie with vertical stripes and Gs throughout."
Gucci Tie w/ Tags,"Men's brown, burgundy and pink Gucci silk stripe necktie."
Gucci Diamante Tie,Men's steel blue and ivory Gucci silk necktie with Diamante print throughout.
Gucci Tie,Men's brown Gucci silk necktie with jacquard wavy stripes throughout.
